DRUG	ENTREZ	NAME	DESC
insulin lyspro recombinant	3118	HLA-DQA2	major histocompatibility complex, class II, DQ alpha 2
insulin lyspro recombinant	3119	HLA-DQB1	major histocompatibility complex, class II, DQ beta 1
insulin lyspro recombinant	3416	IDE	insulin-degrading enzyme
insulin lyspro recombinant	3480	IGF1R	insulin-like growth factor 1 receptor
insulin lyspro recombinant	3490	IGFBP7	insulin-like growth factor binding protein 7
insulin lyspro recombinant	4036	LRP2	low density lipoprotein-related protein 2
insulin lyspro recombinant	5122	PCSK1	proprotein convertase subtilisin/kexin type 1
insulin lyspro recombinant	5126	PCSK2	proprotein convertase subtilisin/kexin type 2
insulin lyspro recombinant	5925	RB1	retinoblastoma 1 (including osteosarcoma)
insulin lyspro recombinant	6134	RPL10	ribosomal protein L10
insulin lyspro recombinant	94121	SYTL4	synaptotagmin-like 4 (granuphilin-a)
insulin, porcine	1363	CPE	carboxypeptidase E
insulin, porcine	1509	CTSD	cathepsin D (lysosomal aspartyl protease)
insulin, porcine	3118	HLA-DQA2	major histocompatibility complex, class II, DQ alpha 2
insulin, porcine	3119	HLA-DQB1	major histocompatibility complex, class II, DQ beta 1
insulin, porcine	3416	IDE	insulin-degrading enzyme
insulin, porcine	3480	IGF1R	insulin-like growth factor 1 receptor
insulin, porcine	3490	IGFBP7	insulin-like growth factor binding protein 7
insulin, porcine	3643	INSR	insulin receptor
insulin, porcine	4036	LRP2	low density lipoprotein-related protein 2
insulin, porcine	5122	PCSK1	proprotein convertase subtilisin/kexin type 1
insulin, porcine	5126	PCSK2	proprotein convertase subtilisin/kexin type 2
insulin, porcine	5925	RB1	retinoblastoma 1 (including osteosarcoma)
insulin, porcine	6134	RPL10	ribosomal protein L10
insulin, porcine	94121	SYTL4	synaptotagmin-like 4 (granuphilin-a)
insulin recombinant	1363	CPE	carboxypeptidase E
insulin recombinant	1509	CTSD	cathepsin D (lysosomal aspartyl protease)
insulin recombinant	3118	HLA-DQA2	major histocompatibility complex, class II, DQ alpha 2
insulin recombinant	3119	HLA-DQB1	major histocompatibility complex, class II, DQ beta 1
insulin recombinant	3416	IDE	insulin-degrading enzyme
insulin recombinant	3480	IGF1R	insulin-like growth factor 1 receptor
insulin recombinant	3490	IGFBP7	insulin-like growth factor binding protein 7
insulin recombinant	3643	INSR	insulin receptor
insulin recombinant	4036	LRP2	low density lipoprotein-related protein 2
insulin recombinant	5122	PCSK1	proprotein convertase subtilisin/kexin type 1
insulin recombinant	5126	PCSK2	proprotein convertase subtilisin/kexin type 2
insulin recombinant	5925	RB1	retinoblastoma 1 (including osteosarcoma)
insulin recombinant	6134	RPL10	ribosomal protein L10
insulin recombinant	94121	SYTL4	synaptotagmin-like 4 (granuphilin-a)
interferon alfa-2a, recombinant	3454	IFNAR1	interferon (alpha, beta and omega) receptor 1
interferon alfa-2a, recombinant	3455	IFNAR2	interferon (alpha, beta and omega) receptor 2
interferon alfa-2b, recombinant	3454	IFNAR1	interferon (alpha, beta and omega) receptor 1
interferon alfa-2b, recombinant	3455	IFNAR2	interferon (alpha, beta and omega) receptor 2
interferon alfacon-1	3454	IFNAR1	interferon (alpha, beta and omega) receptor 1
interferon alfacon-1	3455	IFNAR2	interferon (alpha, beta and omega) receptor 2
interferon alfa-n1	3454	IFNAR1	interferon (alpha, beta and omega) receptor 1
interferon alfa-n1	3455	IFNAR2	interferon (alpha, beta and omega) receptor 2
interferon alfa-n3	3454	IFNAR1	interferon (alpha, beta and omega) receptor 1
interferon alfa-n3	3455	IFNAR2	interferon (alpha, beta and omega) receptor 2
interferon beta-1b	3454	IFNAR1	interferon (alpha, beta and omega) receptor 1
interferon beta-1b	3455	IFNAR2	interferon (alpha, beta and omega) receptor 2
interferon gamma-1b	3459	IFNGR1	interferon gamma receptor 1
interferon gamma-1b	3460	IFNGR2	interferon gamma receptor 2 (interferon gamma transducer 1)
iodipamide	213	ALB	albumin
ipratropium	1128	CHRM1	cholinergic receptor, muscarinic 1
ipratropium	1129	CHRM2	cholinergic receptor, muscarinic 2
irbesartan	185	AGTR1	angiotensin II receptor, type 1
irbesartan	189	AGXT	alanine-glyoxylate aminotransferase (oxalosis I; hyperoxaluria I; glycolicaciduria; serine-pyruvate aminotransferase)
irbesartan	3725	JUN	v-jun sarcoma virus 17 oncogene homolog (avian)
irinotecan	116447	TOP1MT	topoisomerase (DNA) I, mitochondrial
irinotecan	7150	TOP1	topoisomerase (DNA) I
iron dextran	2495	FTH1	ferritin, heavy polypeptide 1
iron dextran	2512	FTL	ferritin, light polypeptide
iron dextran	3040	HBA2	hemoglobin, alpha 2
iron dextran	7018	TF	transferrin
iron dextran	85344	KRTHBP2	keratin, hair, basic, pseudogene 2
isatin	4129	MAOB	monoamine oxidase B
isatoic anhydride	1675	DF	D component of complement (adipsin)
isocarboxazid	4128	MAOA	monoamine oxidase A
isocarboxazid	4129	MAOB	monoamine oxidase B
isocitric acid	3417	IDH1	isocitrate dehydrogenase 1 (NADP+), soluble
isoetharine	153	ADRB1	adrenergic, beta-1-, receptor
isoflurane	2554	GABRA1	gamma-aminobutyric acid (GABA) A receptor, alpha 1
isoflurane	27032	ATP2C1	ATPase, Ca++ transporting, type 2C, member 1
isoflurane	2741	GLRA1	glycine receptor, alpha 1 (startle disease/hyperekplexia, stiff man syndrome)
isoflurane	2890	GRIA1	glutamate receptor, ionotropic, AMPA 1
isoflurane	3736	KCNA1	potassium voltage-gated channel, shaker-related subfamily, member 1 (episodic ataxia with myokymia)
isoflurane	4535	MT-ND1	mitochondrially encoded NADH dehydrogenase 1
isoflurane	513	ATP5D	ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit
isoflurane	808	CALM3	calmodulin 3 (phosphorylase kinase, delta)
isoflurophate	43	ACHE	acetylcholinesterase (YT blood group)
isoflurophate	590	BCHE	butyrylcholinesterase
isoniazid	18	ABAT	4-aminobutyrate aminotransferase
isopentenyl pyrophosphate	2224	FDPS	farnesyl diphosphate synthase (farnesyl pyrophosphate synthetase, dimethylallyltranstransferase, geranyltranstransferase)
isopropyl alcohol	1118	CHIT1	chitinase 1 (chitotriosidase)
isopropyl alcohol	191	AHCY	S-adenosylhomocysteine hydrolase
isopropyl alcohol	2643	GCH1	GTP cyclohydrolase 1 (dopa-responsive dystonia)
isopropyl alcohol	2760	GM2A	GM2 ganglioside activator
isopropyl alcohol	8200	GDF5	growth differentiation factor 5 (cartilage-derived morphogenetic protein-1)
isoproterenol	153	ADRB1	adrenergic, beta-1-, receptor
isoproterenol	154	ADRB2	adrenergic, beta-2-, receptor, surface
isoproterenol	5295	PIK3R1	phosphoinositide-3-kinase, regulatory subunit 1 (p85 alpha)
isoproterenol	5595	MAPK3	mitogen-activated protein kinase 3
isosorbide dinitrate	4881	NPR1	natriuretic peptide receptor A/guanylate cyclase A (atrionatriuretic peptide receptor A)
isosorbide mononitrate	4881	NPR1	natriuretic peptide receptor A/guanylate cyclase A (atrionatriuretic peptide receptor A)
isotretinoin	5914	RARA	retinoic acid receptor, alpha
isradipine	775	CACNA1C	calcium channel, voltage-dependent, L type, alpha 1C subunit
isradipine	781	CACNA2D1	calcium channel, voltage-dependent, alpha 2/delta subunit 1
itraconazole	1595	CYP51A1	cytochrome P450, family 51, subfamily A, polypeptide 1
itraconazole	5243	ABCB1	ATP-binding cassette, sub-family B (MDR/TAP), member 1
k-252a	4233	MET	met proto-oncogene (hepatocyte growth factor receptor)
ketamine	116443	GRIN3A	glutamate receptor, ionotropic, N-methyl-D-aspartate 3A
ketamine	6869	TACR1	tachykinin receptor 1
ketoconazole	1595	CYP51A1	cytochrome P450, family 51, subfamily A, polypeptide 1
ketoprofen	213	ALB	albumin
ketoprofen	3576	IL8	interleukin 8
ketoprofen	5742	PTGS1	prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase)
ketoprofen	5743	PTGS2	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)
ketoprofen	9356	SLC22A6	solute carrier family 22 (organic anion transporter), member 6
ketorolac	5742	PTGS1	prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase)
ketorolac	5743	PTGS2	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)
ketotifen	27115	PDE7B	phosphodiesterase 7B
ketotifen	3269	HRH1	histamine receptor H1
ketotifen	5150	PDE7A	phosphodiesterase 7A
kifunensine	11253	MAN1B1	mannosidase, alpha, class 1B, member 1
labetalol	147	ADRA1B	adrenergic, alpha-1B-, receptor
labetalol	148	ADRA1A	adrenergic, alpha-1A-, receptor
labetalol	153	ADRB1	adrenergic, beta-1-, receptor
labetalol	154	ADRB2	adrenergic, beta-2-, receptor, surface
lactose	51228	GLTP	glycolipid transfer protein
l-alanine	16	AARS	alanyl-tRNA synthetase
l-alanine	18	ABAT	4-aminobutyrate aminotransferase
l-alanine	189	AGXT	alanine-glyoxylate aminotransferase (oxalosis I; hyperoxaluria I; glycolicaciduria; serine-pyruvate aminotransferase)
l-alanine	206358	SLC36A1	solute carrier family 36 (proton/amino acid symporter), member 1
l-alanine	23428	SLC7A8	solute carrier family 7 (cationic amino acid transporter, y+ system), member 8
l-alanine	2875	GPT	glutamic-pyruvate transaminase (alanine aminotransferase)
l-alanine	57505	AARSL	alanyl-tRNA synthetase like
l-alanine	64902	AGXT2	alanine-glyoxylate aminotransferase 2
l-alanine	6509	SLC1A4	solute carrier family 1 (glutamate/neutral amino acid transporter), member 4
l-alanine	84706	GPT2	glutamic pyruvate transaminase (alanine aminotransferase) 2
l-alanine	85007		hypothetical protein MGC15875
l-alanine	8942	KYNU	kynureninase (L-kynurenine hydrolase)
l-alanine	9054	NFS1	NFS1 nitrogen fixation 1 (S. cerevisiae)
lamotrigine	573971	NoName	NoDesc
lamotrigine	6323	SCN1A	sodium channel, voltage-gated, type I, alpha
lamotrigine	6326	SCN2A2	sodium channel, voltage-gated, type II, alpha 2
lamotrigine	6328	SCN3A	sodium channel, voltage-gated, type III, alpha
lamotrigine	6329	SCN4A	sodium channel, voltage-gated, type IV, alpha
lamotrigine	6331	SCN5A	sodium channel, voltage-gated, type V, alpha (long QT syndrome 3)
lamotrigine	6334	SCN8A	sodium channel, voltage gated, type VIII, alpha
lamotrigine	6335	SCN9A	sodium channel, voltage-gated, type IX, alpha
lanosterol	4047	LSS	lanosterol synthase (2,3-oxidosqualene-lanosterol cyclase)
lansoprazole	495	ATP4A	ATPase, H+/K+ exchanging, alpha polypeptide
lapatinib	1956	EGFR	epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)
lapatinib	2064	ERBB2	v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)
l-arginine	113451		ornithine decarboxylase-like
l-arginine	339345	NANOS2	nanos homolog 2 (Drosophila)
l-arginine	384	ARG2	arginase, type II
l-arginine	435	ASL	argininosuccinate lyase
l-arginine	445	ASS	argininosuccinate synthetase
l-arginine	4846	NOS3	nitric oxide synthase 3 (endothelial cell)
l-arginine	6541	SLC7A1	solute carrier family 7 (cationic amino acid transporter, y+ system), member 1
l-arginine	6545	SLC7A4	solute carrier family 7 (cationic amino acid transporter, y+ system), member 4
l-arginine	84889	SLC7A3	solute carrier family 7 (cationic amino acid transporter, y+ system), member 3
l-asparagine	10991	SLC38A3	solute carrier family 38, member 3
l-asparagine	440	ASNS	asparagine synthetase
l-asparagine	4677	NARS	asparaginyl-tRNA synthetase
l-asparagine	6510	SLC1A5	solute carrier family 1 (neutral amino acid transporter), member 5
l-asparagine	79731		hypothetical protein FLJ23441
l-asparagine	80150	ASRGL1	asparaginase like 1
l-aspartic acid	10165	SLC25A13	solute carrier family 25, member 13 (citrin)
l-aspartic acid	10606	PAICS	phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase
l-aspartic acid	122622	ADSSL1	adenylosuccinate synthase like 1
l-aspartic acid	159	ADSS	adenylosuccinate synthase
l-aspartic acid	1615	DARS	aspartyl-tRNA synthetase
l-aspartic acid	2806	GOT2	glutamic-oxaloacetic transaminase 2, mitochondrial (aspartate aminotransferase 2)
l-aspartic acid	2806	GOT2	glutamic-oxaloacetic transaminase 2, mitochondrial (aspartate aminotransferase 2)
l-aspartic acid	440	ASNS	asparagine synthetase
l-aspartic acid	443	ASPA	aspartoacylase (aminoacylase 2, Canavan disease)
l-aspartic acid	444	ASPH	aspartate beta-hydroxylase
l-aspartic acid	445	ASS	argininosuccinate synthetase
l-aspartic acid	51026	GOLT1B	golgi transport 1 homolog B (S. cerevisiae)
l-aspartic acid	55157		hypothetical protein FLJ10514
l-aspartic acid	6505	SLC1A1	solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1
l-aspartic acid	790	CAD	carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase
l-aspartic acid	80150	ASRGL1	asparaginase like 1
l-aspartic acid	8604	SLC25A12	solute carrier family 25 (mitochondrial carrier, Aralar), member 12
l-aspartic acid	91703	ACY3	aspartoacylase (aminocyclase) 3
l-aspartic acid	95	ACY1	aminoacylase 1
latanoprost	5737	PTGFR	prostaglandin F receptor (FP)
lauric acid	128	ADH5	alcohol dehydrogenase 5 (class III), chi polypeptide
lauric acid	213	ALB	albumin
lauric acid	2760	GM2A	GM2 ganglioside activator
lauryl dimethylamine-n-oxide	4129	MAOB	monoamine oxidase B
l-carnitine	123096	SLC25A29	solute carrier family 25, member 29
l-carnitine	1374	CPT1A	carnitine palmitoyltransferase 1A (liver)
l-carnitine	1376	CPT2	carnitine palmitoyltransferase II
l-carnitine	1384	CRAT	carnitine acetyltransferase
l-carnitine	54677	CROT	carnitine O-octanoyltransferase
l-carnitine	6583	SLC22A4	solute carrier family 22 (organic cation transporter), member 4
l-carnitine	6584	SLC22A5	solute carrier family 22 (organic cation transporter), member 5
l-carnitine	788	SLC25A20	solute carrier family 25 (carnitine/acylcarnitine translocase), member 20
l-citrulline	11240	PADI2	peptidyl arginine deiminase, type II
l-citrulline	23564	DDAH2	dimethylarginine dimethylaminohydrolase 2
l-citrulline	23569	PADI4	peptidyl arginine deiminase, type IV
l-citrulline	23576	DDAH1	dimethylarginine dimethylaminohydrolase 1
l-citrulline	29943	PADI1	peptidyl arginine deiminase, type I
l-citrulline	339345	NANOS2	nanos homolog 2 (Drosophila)
l-citrulline	353238	PADI6	peptidyl arginine deiminase, type VI
l-citrulline	445	ASS	argininosuccinate synthetase
l-citrulline	4842	NOS1	nitric oxide synthase 1 (neuronal)
l-citrulline	4846	NOS3	nitric oxide synthase 3 (endothelial cell)
l-citrulline	5009	OTC	ornithine carbamoyltransferase
l-citrulline	51702	PADI3	peptidyl arginine deiminase, type III
l-cysteine	1036	CDO1	cysteine dioxygenase, type I
l-cysteine	23584	VSIG2	V-set and immunoglobulin domain containing 2
l-cysteine	2729	GCLC	glutamate-cysteine ligase, catalytic subunit
l-cysteine	2730	GCLM	glutamate-cysteine ligase, modifier subunit
l-cysteine	2937	GSS	glutathione synthetase
l-cysteine	4255	MGMT	O-6-methylguanine-DNA methyltransferase
l-cysteine	51026	GOLT1B	golgi transport 1 homolog B (S. cerevisiae)
l-cysteine	51380	CSAD	cysteine sulfinic acid decarboxylase
l-cysteine	79587		hypothetical protein FLJ12118
l-cysteine	80704	SLC19A3	solute carrier family 19, member 3
l-cysteine	833	CARS	cysteinyl-tRNA synthetase
l-cysteine	875	CBS	cystathionine-beta-synthase
l-cysteine	9054	NFS1	NFS1 nitrogen fixation 1 (S. cerevisiae)
l-cystine	11136	SLC7A9	solute carrier family 7 (cationic amino acid transporter, y+ system), member 9
l-cystine	1497	CTNS	cystinosis, nephropathic
l-cystine	23657	SLC7A11	solute carrier family 7, (cationic amino acid transporter, y+ system) member 11
l-cystine	6519	SLC3A1	solute carrier family 3 (cystine, dibasic and neutral amino acid transporters, activator of cystine, dibasic and neutral amino acid transport), member 1
leflunomide	1723	DHODH	dihydroorotate dehydrogenase
leflunomide	240	ALOX5	arachidonate 5-lipoxygenase
lenalidomide	5743	PTGS2	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)
lepirudin	2147	F2	coagulation factor II (thrombin)
lercanidipine	786	CACNG1	calcium channel, voltage-dependent, gamma subunit 1
letrozole	1588	CYP19A1	cytochrome P450, family 19, subfamily A, polypeptide 1
letrozole	2064	ERBB2	v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)
letrozole	2099	ESR1	estrogen receptor 1
leucovorin	7298	TYMS	thymidylate synthetase
leuprolide	2798	GNRHR	gonadotropin-releasing hormone receptor
levallorphan	1135	CHRNA2	cholinergic receptor, nicotinic, alpha polypeptide 2 (neuronal)
levallorphan	4988	OPRM1	opioid receptor, mu 1
levamisole	213	ALB	albumin
levamisole	251	ALPPL2	alkaline phosphatase, placental-like 2
levetiracetam	6323	SCN1A	sodium channel, voltage-gated, type I, alpha
levetiracetam	759	CA1	carbonic anhydrase I
levetiracetam	8913	CACNA1G	calcium channel, voltage-dependent, alpha 1G subunit
levetiracetam	9900	SV2A	synaptic vesicle glycoprotein 2A
levobunolol	153	ADRB1	adrenergic, beta-1-, receptor
levobunolol	154	ADRB2	adrenergic, beta-2-, receptor, surface
levobupivacaine	6336	SCN10A	sodium channel, voltage-gated, type X, alpha
levocabastine	23620	NTSR2	neurotensin receptor 2
levocabastine	3269	HRH1	histamine receptor H1
levodopa	1312	COMT	catechol-O-methyltransferase
levodopa	1812	DRD1	dopamine receptor D1
levodopa	1813	DRD2	dopamine receptor D2
levodopa	5053	PAH	phenylalanine hydroxylase
levofloxacin	7153	TOP2A	topoisomerase (DNA) II alpha 170kDa
levomethadyl acetate	4988	OPRM1	opioid receptor, mu 1
levonorgestrel	2099	ESR1	estrogen receptor 1
levonorgestrel	5241	PGR	progesterone receptor
levorphanol	4988	OPRM1	opioid receptor, mu 1
levosimendan	3764	KCNJ8	potassium inwardly-rectifying channel, subfamily J, member 8
levosimendan	3767	KCNJ11	potassium inwardly-rectifying channel, subfamily J, member 11
levosimendan	7137	TNNI3	troponin I, cardiac
levothyroxine	1428	CRYM	crystallin, mu
levothyroxine	213	ALB	albumin
levothyroxine	6906	SERPINA7	serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 7
levothyroxine	7067	THRA	thyroid hormone receptor, alpha (erythroblastic leukemia viral (v-erb-a) oncogene homolog, avian)
levothyroxine	7068	THRB	thyroid hormone receptor, beta (erythroblastic leukemia viral (v-erb-a) oncogene homolog 2, avian)
levothyroxine	7276	TTR	transthyretin (prealbumin, amyloidosis type I)
lfa703	3683	ITGAL	integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)
l-glutamic acid	10157	AASS	aminoadipate-semialdehyde synthase
l-glutamic acid	10841	FTCD	formiminotransferase cyclodeaminase
l-glutamic acid	116443	GRIN3A	glutamate receptor, ionotropic, N-methyl-D-aspartate 3A
l-glutamic acid	116444	GRIN3B	glutamate receptor, ionotropic, N-methyl-D-aspartate 3B
l-glutamic acid	124454		KIAA1970 protein
l-glutamic acid	162417	NAGS	N-acetylglutamate synthase
l-glutamic acid	18	ABAT	4-aminobutyrate aminotransferase
l-glutamic acid	2028	ENPEP	glutamyl aminopeptidase (aminopeptidase A)
l-glutamic acid	2058	EPRS	glutamyl-prolyl-tRNA synthetase
l-glutamic acid	2346	FOLH1	folate hydrolase (prostate-specific membrane antigen) 1
l-glutamic acid	23549	DNPEP	aspartyl aminopeptidase
l-glutamic acid	2356	FPGS	folylpolyglutamate synthase
l-glutamic acid	23657	SLC7A11	solute carrier family 7, (cationic amino acid transporter, y+ system) member 11
l-glutamic acid	2571	GAD1	glutamate decarboxylase 1 (brain, 67kDa)
l-glutamic acid	2572	GAD2	glutamate decarboxylase 2 (pancreatic islets and brain, 65kDa)
l-glutamic acid	2677	GGCX	gamma-glutamyl carboxylase
l-glutamic acid	26873	OPLAH	5-oxoprolinase (ATP-hydrolysing)
l-glutamic acid	27165	GLS2	glutaminase 2 (liver, mitochondrial)
l-glutamic acid	2729	GCLC	glutamate-cysteine ligase, catalytic subunit
l-glutamic acid	2730	GCLM	glutamate-cysteine ligase, modifier subunit
l-glutamic acid	2744	GLS	glutaminase
l-glutamic acid	2746	GLUD1	glutamate dehydrogenase 1
l-glutamic acid	2747	GLUD2	glutamate dehydrogenase 2
l-glutamic acid	2752	GLUL	glutamate-ammonia ligase (glutamine synthase)
l-glutamic acid	2806	GOT2	glutamic-oxaloacetic transaminase 2, mitochondrial (aspartate aminotransferase 2)
l-glutamic acid	2806	GOT2	glutamic-oxaloacetic transaminase 2, mitochondrial (aspartate aminotransferase 2)
l-glutamic acid	2875	GPT	glutamic-pyruvate transaminase (alanine aminotransferase)
l-glutamic acid	2890	GRIA1	glutamate receptor, ionotropic, AMPA 1
l-glutamic acid	2891	GRIA2	glutamate receptor, ionotropic, AMPA 2
l-glutamic acid	2892	GRIA3	glutamate receptor, ionotrophic, AMPA 3
l-glutamic acid	2893	GRIA4	glutamate receptor, ionotrophic, AMPA 4
l-glutamic acid	2894	GRID1	glutamate receptor, ionotropic, delta 1
l-glutamic acid	2895	GRID2	glutamate receptor, ionotropic, delta 2
l-glutamic acid	2897	GRIK1	glutamate receptor, ionotropic, kainate 1
l-glutamic acid	2898	GRIK2	glutamate receptor, ionotropic, kainate 2
l-glutamic acid	2899	GRIK3	glutamate receptor, ionotropic, kainate 3
l-glutamic acid	2900	GRIK4	glutamate receptor, ionotropic, kainate 4
l-glutamic acid	2901	GRIK5	glutamate receptor, ionotropic, kainate 5
l-glutamic acid	2902	GRIN1	glutamate receptor, ionotropic, N-methyl D-aspartate 1
l-glutamic acid	2903	GRIN2A	glutamate receptor, ionotropic, N-methyl D-aspartate 2A
l-glutamic acid	2904	GRIN2B	glutamate receptor, ionotropic, N-methyl D-aspartate 2B
l-glutamic acid	2905	GRIN2C	glutamate receptor, ionotropic, N-methyl D-aspartate 2C
l-glutamic acid	2906	GRIN2D	glutamate receptor, ionotropic, N-methyl D-aspartate 2D
l-glutamic acid	2911	GRM1	glutamate receptor, metabotropic 1
l-glutamic acid	2914	GRM4	glutamate receptor, metabotropic 4
l-glutamic acid	2917	GRM7	glutamate receptor, metabotropic 7
l-glutamic acid	2918	GRM8	glutamate receptor, metabotropic 8
l-glutamic acid	29968	PSAT1	phosphoserine aminotransferase 1
l-glutamic acid	440	ASNS	asparagine synthetase
l-glutamic acid	51026	GOLT1B	golgi transport 1 homolog B (S. cerevisiae)
l-glutamic acid	51166	AADAT	aminoadipate aminotransferase
l-glutamic acid	5188	PET112L	PET112-like (yeast)
l-glutamic acid	5198	PFAS	phosphoribosylformylglycinamidine synthase (FGAR amidotransferase)
l-glutamic acid	55191		NAD synthetase 1
l-glutamic acid	56267		kynurenine aminotransferase III
l-glutamic acid	5832	ALDH18A1	aldehyde dehydrogenase 18 family, member A1
l-glutamic acid	586	BCAT1	branched chain aminotransferase 1, cytosolic
l-glutamic acid	587	BCAT2	branched chain aminotransferase 2, mitochondrial
l-glutamic acid	6505	SLC1A1	solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1
l-glutamic acid	6506	SLC1A2	solute carrier family 1 (glial high affinity glutamate transporter), member 2
l-glutamic acid	6507	SLC1A3	solute carrier family 1 (glial high affinity glutamate transporter), member 3
l-glutamic acid	6511	SLC1A6	solute carrier family 1 (high affinity aspartate/glutamate transporter), member 6
l-glutamic acid	6512	SLC1A7	solute carrier family 1 (glutamate transporter), member 7
l-glutamic acid	6898	TAT	tyrosine aminotransferase
l-glutamic acid	79751	SLC25A22	solute carrier family 25 (mitochondrial carrier: glutamate), member 22
l-glutamic acid	83733	SLC25A18	solute carrier family 25 (mitochondrial carrier), member 18
l-glutamic acid	84706	GPT2	glutamic pyruvate transaminase (alanine aminotransferase) 2
l-glutamic acid	8833	GMPS	guanine monphosphate synthetase
l-glutamic acid	8836	GGH	gamma-glutamyl hydrolase (conjugase, folylpolygammaglutamyl hydrolase)
l-glutamine	10991	SLC38A3	solute carrier family 38, member 3
l-glutamine	116179	TGM7	transglutaminase 7
l-glutamine	1503	CTPS	CTP synthase
l-glutamine	2162	F13A1	coagulation factor XIII, A1 polypeptide
l-glutamine	23428	SLC7A8	solute carrier family 7 (cationic amino acid transporter, y+ system), member 8
l-glutamine	27165	GLS2	glutaminase 2 (liver, mitochondrial)
l-glutamine	2744	GLS	glutaminase
l-glutamine	2752	GLUL	glutamate-ammonia ligase (glutamine synthase)
l-glutamine	343641	TGM6	transglutaminase 6
l-glutamine	440	ASNS	asparagine synthetase
l-glutamine	5188	PET112L	PET112-like (yeast)
l-glutamine	5198	PFAS	phosphoribosylformylglycinamidine synthase (FGAR amidotransferase)
l-glutamine	55191		NAD synthetase 1
l-glutamine	5859	QARS	glutaminyl-tRNA synthetase
l-glutamine	6510	SLC1A5	solute carrier family 1 (neutral amino acid transporter), member 5
l-glutamine	7047	TGM4	transglutaminase 4 (prostate)
l-glutamine	7051	TGM1	transglutaminase 1 (K polypeptide epidermal type I, protein-glutamine-gamma-glutamyltransferase)
l-glutamine	7052	TGM2	transglutaminase 2 (C polypeptide, protein-glutamine-gamma-glutamyltransferase)
l-glutamine	7053	TGM3	transglutaminase 3 (E polypeptide, protein-glutamine-gamma-glutamyltransferase)
l-glutamine	790	CAD	carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase
l-glutamine	80347	COASY	Coenzyme A synthase
l-glutamine	883	CCBL1	cysteine conjugate-beta lyase; cytoplasmic (glutamine transaminase K, kyneurenine aminotransferase)
l-glutamine	8833	GMPS	guanine monphosphate synthetase
l-glutamine	9333	TGM5	transglutaminase 5
l-glutamine	9945	GFPT2	glutamine-fructose-6-phosphate transaminase 2
l-histidine	10991	SLC38A3	solute carrier family 38, member 3
l-histidine	3034	HAL	histidine ammonia-lyase
l-histidine	3035	HARS	histidyl-tRNA synthetase
l-histidine	51696	HECA	headcase homolog (Drosophila)
lidocaine	1956	EGFR	epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)
lidocaine	6331	SCN5A	sodium channel, voltage-gated, type V, alpha (long QT syndrome 3)
lidocaine	6335	SCN9A	sodium channel, voltage-gated, type IX, alpha
lidocaine	6336	SCN10A	sodium channel, voltage-gated, type X, alpha
liothyronine	213	ALB	albumin
liothyronine	6906	SERPINA7	serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 7
liothyronine	7067	THRA	thyroid hormone receptor, alpha (erythroblastic leukemia viral (v-erb-a) oncogene homolog, avian)
liothyronine	7068	THRB	thyroid hormone receptor, beta (erythroblastic leukemia viral (v-erb-a) oncogene homolog 2, avian)
liothyronine	7068	THRB	thyroid hormone receptor, beta (erythroblastic leukemia viral (v-erb-a) oncogene homolog 2, avian)
liothyronine	7276	TTR	transthyretin (prealbumin, amyloidosis type I)
lipoic acid	11019	LIAS	lipoic acid synthetase
lipoic acid	51601	LIPT1	lipoyltransferase 1
lipoic acid	8884	SLC5A6	solute carrier family 5 (sodium-dependent vitamin transporter), member 6
lisdexamfetamine	147	ADRA1B	adrenergic, alpha-1B-, receptor
lisdexamfetamine	148	ADRA1A	adrenergic, alpha-1A-, receptor
lisdexamfetamine	6531	SLC6A3	solute carrier family 6 (neurotransmitter transporter, dopamine), member 3
lisinopril	1636	ACE	angiotensin I converting enzyme (peptidyl-dipeptidase A) 1
lisinopril	1636	ACE	angiotensin I converting enzyme (peptidyl-dipeptidase A) 1
